index, timestamp, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.graphics [MHz]
0, 2023/10/17 13:35:28.925, 67.86 W, 1522 MHz, 877 MHz, 1522 MHz
1, 2023/10/17 13:35:28.931, 41.92 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:35:28.933, 42.76 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:35:28.936, 293.11 W, 1500 MHz, 877 MHz, 1500 MHz
0, 2023/10/17 13:35:38.939, 68.22 W, 1522 MHz, 877 MHz, 1522 MHz
1, 2023/10/17 13:35:38.941, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:35:38.943, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:35:38.944, 72.06 W, 1522 MHz, 877 MHz, 1522 MHz
0, 2023/10/17 13:35:48.948, 58.04 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 13:35:48.949, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:35:48.951, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:35:48.954, 72.60 W, 1522 MHz, 877 MHz, 1522 MHz
0, 2023/10/17 13:35:58.956, 68.26 W, 1522 MHz, 877 MHz, 1522 MHz
1, 2023/10/17 13:35:58.958, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:35:58.959, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:35:58.961, 60.96 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 13:36:08.964, 68.22 W, 1522 MHz, 877 MHz, 1522 MHz
1, 2023/10/17 13:36:08.966, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:36:08.967, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:36:08.969, 71.62 W, 1515 MHz, 877 MHz, 1515 MHz
0, 2023/10/17 13:36:18.971, 70.65 W, 1530 MHz, 877 MHz, 1530 MHz
1, 2023/10/17 13:36:18.972, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:36:18.974, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:36:18.975, 69.68 W, 1470 MHz, 877 MHz, 1470 MHz
0, 2023/10/17 13:36:28.977, 68.22 W, 1522 MHz, 877 MHz, 1522 MHz
1, 2023/10/17 13:36:28.979, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:36:28.980, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:36:28.982, 69.19 W, 1470 MHz, 877 MHz, 1470 MHz
0, 2023/10/17 13:36:38.984, 58.08 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 13:36:38.985, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:36:38.987, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:36:38.988, 60.96 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 13:36:48.990, 68.22 W, 1530 MHz, 877 MHz, 1530 MHz
1, 2023/10/17 13:36:48.992, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:36:48.993, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:36:48.994, 72.11 W, 1500 MHz, 877 MHz, 1500 MHz
0, 2023/10/17 13:36:58.996, 68.22 W, 1530 MHz, 877 MHz, 1530 MHz
1, 2023/10/17 13:36:58.999, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 13:36:59.001, 42.92 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 13:36:59.003, 84.70 W, 1530 MHz, 877 MHz, 1530 MHz
