index, timestamp, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.graphics [MHz]
0, 2023/10/17 23:26:44.877, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:26:44.880, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:26:44.882, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:26:44.886, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 23:26:54.889, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:26:54.891, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:26:54.892, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:26:54.894, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 23:27:04.897, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:27:04.899, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:27:04.901, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:27:04.902, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 23:27:14.905, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:27:14.906, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:27:14.908, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:27:14.910, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 23:27:24.912, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:27:24.914, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:27:24.916, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:27:24.918, 57.56 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 23:27:34.923, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:27:34.925, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:27:34.927, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:27:34.928, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 23:27:44.932, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:27:44.934, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:27:44.936, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:27:44.938, 57.56 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 23:27:54.940, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:27:54.941, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:27:54.943, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:27:54.945, 57.56 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 23:28:04.948, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:28:04.950, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:28:04.952, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:28:04.954, 57.56 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 23:28:14.956, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:28:14.958, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:28:14.960, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:28:14.962, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 23:28:24.968, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:28:24.970, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:28:24.972, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:28:24.975, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 23:28:34.978, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:28:34.979, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:28:34.981, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:28:34.983, 57.56 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 23:28:44.985, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:28:44.987, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:28:44.989, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:28:44.991, 57.56 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 23:28:54.993, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:28:54.995, 55.19 W, 1290 MHz, 877 MHz, 1290 MHz
2, 2023/10/17 23:28:54.997, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:28:54.999, 57.56 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 23:29:05.001, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:29:05.005, 42.09 W, 135 MHz, 877 MHz, 135 MHz
